CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
115,Sr.,Gustavo,Costa,63,Masculino,Rua Lauro Leite Martins 333,Maceió,AL,Alagoas,57025-760,BR,Brazil,GustavoCorreiaCosta@einrot.com,9093,0.03,14,2,0,5,2,0,4,920,37,Email,0
116,Sra.,Ágatha,Alves,45,Feminino,Rua Júlio Tellini 39,Franca,SP,São Paulo,14401-090,BR,Brazil,AgathaRodriguesAlves@dayrep.com,4493,0.82,8,9,0,5,15,53,3,8684,90,SMS,1
117,Sra.,Eduarda,Almeida,61,Feminino,Rua do Ferro 1370,Santa Bárbara D'Oeste,SP,São Paulo,13456-413,BR,Brazil,EduardaDiasAlmeida@rhyta.com,8571,1,8,9,0,0,30,127,0,1990,41,Push,1
118,Sra.,Carla,Melo,18,Feminino,Avenida da Natureza 1910,Campo Mourão,PR,Paraná,87310-220,BR,Brazil,CarlaBarrosMelo@gustr.com,5101,0.89,12,9,0,4,48,35,3,2420,40,Push,1
119,Sra.,Melissa,Castro,19,Feminino,Rua Acre 899,Avaré,SP,São Paulo,18705-580,BR,Brazil,MelissaAlmeidaCastro@rhyta.com,6521,0.13,13,11,0,2,1,0,5,7213,81,Push,0
120,Sr.,Kai,Cardoso,51,Masculino,Rua Ladislau Nunes dos Santos 1084,Cotia,SP,São Paulo,06700-115,BR,Brazil,KaiSilvaCardoso@dayrep.com,8141,0.87,2,18,0,2,48,85,2,6885,85,Ligacao,1
121,Sra.,Clara,Pereira,47,Feminino,Rua Tel Aviv 1065,Cotia,SP,São Paulo,06711-300,BR,Brazil,ClaraFernandesPereira@cuvox.de,5296,0.21,4,4,0,1,1,5,5,6543,84,Email,0
122,Sra.,Alice,Sousa,36,Feminino,Rua São Cristóvão 1680,Campo Grande,MS,Mato Grosso do Sul,79116-240,BR,Brazil,AliceGoncalvesSousa@einrot.com,4598,0.38,13,20,0,4,3,5,5,4850,52,SMS,0
123,Sr.,Tiago,Santos,23,Masculino,Rua Cecília Marques da Luz 470,Curitiba,PR,Paraná,82630-100,BR,Brazil,TiagoSilvaSantos@superrito.com,7603,0.34,15,12,1,0,2,4,4,7068,89,SMS,0
124,Sra.,Giovana,Rocha,54,Feminino,Alameda Trinta e Três 1893,Volta Redonda,RJ,Rio de Janeiro,27279-350,BR,Brazil,GiovanaGomesRocha@armyspy.com,3350,0.47,1,7,0,5,1,2,4,3760,48,Email,0
125,Dr.,Amanda,Rocha,43,Feminino,Rua da Árvore 167,Goiânia,GO,Goiás,74375-621,BR,Brazil,AmandaAraujoRocha@dayrep.com,4163,0.14,6,2,0,3,3,8,4,4457,66,SMS,0
126,Sra.,Camila,Oliveira,66,Feminino,Rua Severrina Maria da Conceição 1312,João Pessoa,PB,Paraíba,58073-325,BR,Brazil,CamilaAlmeidaOliveira@einrot.com,9713,0.84,6,10,0,0,46,48,3,6663,57,Ligacao,1
127,Sr.,Luan,Oliveira,31,Masculino,Alameda Babilônia 1180,Bauru,SP,São Paulo,17067-610,BR,Brazil,LuanCorreiaOliveira@armyspy.com,8200,0.92,7,17,0,3,34,187,0,9396,85,Email,1
128,Sr.,Mateus,Lima,20,Masculino,Alameda Um 1527,Belém,PA,Pará,66816-290,BR,Brazil,MateusAraujoLima@cuvox.de,4055,1,15,16,0,1,47,47,3,271,79,Push,1
129,Sr.,Kaua,Almeida,37,Masculino,Rua João Nunes da Costa 717,Itapetininga,SP,São Paulo,18211-196,BR,Brazil,KauaRochaAlmeida@rhyta.com,8845,0.81,7,2,1,3,44,169,0,4384,85,Email,1
130,Sra.,Vitória,Cunha,59,Feminino,Rua Catarina Alves 33,Itabuna,BA,Bahia,45602-180,BR,Brazil,VitoriaCarvalhoCunha@jourrapide.com,6462,0.92,5,1,0,5,22,70,1,4604,52,Ligacao,1
131,Sr.,Douglas,Cunha,64,Masculino,Rua Valentim Nicolai 528,São Paulo,SP,São Paulo,05571-170,BR,Brazil,DouglasCorreiaCunha@jourrapide.com,9474,0.92,12,10,0,4,36,72,1,3649,52,SMS,1
132,Sra.,Vitoria,Correia,19,Feminino,Rua Santa Rita de Cássia 1148,Guarulhos,SP,São Paulo,07021-050,BR,Brazil,VitoriaRodriguesCorreia@teleworm.us,5740,0.9,12,17,1,5,37,131,2,5587,55,Email,1
133,Sra.,Thaís,Santos,59,Feminino,Rua Pedro José de Moura 1560,Uberlândia,MG,Minas Gerais,38414-206,BR,Brazil,ThaisFernandesSantos@rhyta.com,9655,0.3,1,3,1,3,3,0,4,6334,32,Email,0
134,Sra.,Alice,Azevedo,28,Feminino,Travessa F 1580,Ananindeua,PA,Pará,67033-490,BR,Brazil,AliceGomesAzevedo@dayrep.com,9891,0.85,7,4,0,0,14,179,0,6693,42,Email,1
135,Sra.,Bruna,Azevedo,36,Feminino,Rua Gabriel Antunes Maciel 1068,Salto,SP,São Paulo,13323-470,BR,Brazil,BrunaCostaAzevedo@einrot.com,8576,1,1,11,0,5,18,197,1,569,64,Email,1
136,Sra.,Carla,Pinto,24,Feminino,Vila Pará 655,Fortaleza,CE,Ceará,60711-410,BR,Brazil,CarlaBarbosaPinto@rhyta.com,4376,1,1,20,1,0,50,55,0,3753,50,Push,1
137,Sra.,Lara,Cavalcanti,20,Feminino,Rua Barão Capanema 1586,Rio de Janeiro,RJ,Rio de Janeiro,23042-380,BR,Brazil,LaraRodriguesCavalcanti@cuvox.de,6124,1,10,5,0,2,37,88,3,333,70,Ligacao,1
138,Sra.,Beatrice,Goncalves,51,Feminino,Rua Pioneiro Simão Romero 1529,Maringá,PR,Paraná,87020-550,BR,Brazil,BeatriceSantosGoncalves@jourrapide.com,3550,0.3,6,5,0,4,2,4,5,5625,86,Push,1
139,Sra.,Raissa,Barros,65,Feminino,Travessa Peregrino Filho 211,Patos,PB,Paraíba,58700-455,BR,Brazil,RaissaRodriguesBarros@superrito.com,6648,0.09,0,9,0,4,2,7,4,2943,77,SMS,1
140,Sr.,Kaua,Goncalves,58,Masculino,Rua Monsenhor João José de Azevedo 72,São Paulo,SP,São Paulo,03266-020,BR,Brazil,KauaFerreiraGoncalves@superrito.com,7499,0.23,13,20,0,4,2,1,4,3074,81,Push,1
141,Sr.,Luan,Lima,62,Masculino,Avenida Contorno 940,Recife,PE,Pernambuco,51150-160,BR,Brazil,LuanAlvesLima@superrito.com,3121,0.85,7,8,0,3,29,83,0,764,33,Push,1
142,Sra.,Isabelle,Gomes,36,Feminino,Avenida Ettore Turelli 1088,Ribeirão Pires,SP,São Paulo,09441-010,BR,Brazil,IsabelleAzevedoGomes@superrito.com,5828,0.12,9,7,0,4,1,1,5,7514,39,Push,1
143,Dr.,Murilo,Silva,18,Masculino,Rua Marechal Emanuel Marques Porto 357,São Paulo,SP,São Paulo,04855-070,BR,Brazil,MuriloAzevedoSilva@einrot.com,7537,0.9,6,18,0,3,19,43,3,9816,85,Ligacao,1
144,Sr.,Enzo,Azevedo,29,Masculino,Praça dos Expedicionários 669,Santo André,SP,São Paulo,09071-330,BR,Brazil,EnzoGomesAzevedo@jourrapide.com,3907,0.88,4,18,1,2,21,198,1,6814,60,Ligacao,1
145,Sr.,Julian,Pinto,29,Masculino,Rua Santa Isabel 1521,Chapecó,SC,Santa Catarina,89813-160,BR,Brazil,JulianFernandesPinto@cuvox.de,7066,0.86,7,0,0,4,29,157,2,7310,37,SMS,1
146,Sr.,Luís,Santos,55,Masculino,Travessa Loanda 1361,Colombo,PR,Paraná,83410-620,BR,Brazil,LuisMartinsSantos@rhyta.com,8639,0.99,9,3,1,3,25,90,0,2931,38,Email,1
147,Sr.,Martim,Ferreira,23,Masculino,Rua São Pedro 1183,Belo Horizonte,MG,Minas Gerais,30512-420,BR,Brazil,MartimCostaFerreira@einrot.com,7806,1,9,6,0,4,11,150,0,2393,69,Push,1
148,Sr.,Carlos,Costa,29,Masculino,Rua Antônio Heck 1642,Cruz Alta,RS,Rio Grande do Sul,98050-400,BR,Brazil,CarlosOliveiraCosta@einrot.com,8495,0.36,3,13,0,4,3,1,4,1462,83,Push,1
149,Sra.,Gabriela,Lima,42,Feminino,Rua da Paz 245,Franca,SP,São Paulo,14403-121,BR,Brazil,GabrielaGoncalvesLima@einrot.com,8226,0.14,1,0,0,1,2,2,5,113,53,Push,1
150,Sra.,Emily,Cunha,50,Feminino,Rua A 3 1307,Goiânia,GO,Goiás,74365-040,BR,Brazil,EmilyRibeiroCunha@rhyta.com,7110,0.86,10,0,0,2,27,134,3,3756,42,Email,1
151,Sra.,Ágatha,Cavalcanti,53,Feminino,Rua JC 58 842,Goiânia,GO,Goiás,74481-440,BR,Brazil,AgathaGomesCavalcanti@cuvox.de,9089,0.16,6,4,0,3,3,3,4,8601,79,Push,1
152,Sr.,Davi,Barbosa,21,Masculino,Passagem Ceará 682,Belém,PA,Pará,66073-130,BR,Brazil,DaviCardosoBarbosa@fleckens.hu,7641,0.05,7,1,0,4,3,7,5,5426,30,Email,1
153,Sr.,Igor,Sousa,66,Masculino,Rua Coronel Ponciano 1415,Dourados,MS,Mato Grosso do Sul,79831-230,BR,Brazil,IgorMeloSousa@jourrapide.com,7575,0.27,8,10,0,3,2,4,5,2734,82,SMS,1
154,Sra.,Luiza,Souza,40,Feminino,Rua Lontras 52,Joinville,SC,Santa Catarina,89210-160,BR,Brazil,LuizaCorreiaSouza@superrito.com,5581,0.91,0,11,1,1,43,32,0,9315,73,Ligacao,1
155,Sr.,José,Rocha,21,Masculino,Rua Amado Melo 115,Varginha,MG,Minas Gerais,37014-620,BR,Brazil,JoseDiasRocha@gustr.com,5578,1,6,5,1,4,25,180,1,4110,41,Push,1
156,Sra.,Maria,Azevedo,26,Feminino,Rua José Pedro Maduro 1071,Rio de Janeiro,RJ,Rio de Janeiro,23071-050,BR,Brazil,MariaMeloAzevedo@dayrep.com,3751,0.5,0,8,0,1,2,0,4,3939,65,SMS,1
157,Sr.,Luiz,Rocha,27,Masculino,Rua Carlos Inácio Alves 1372,Londrina,PR,Paraná,86038-390,BR,Brazil,LuizBarbosaRocha@fleckens.hu,9690,1,14,16,0,5,18,100,0,3821,54,SMS,1
158,Sr.,Victor,Cardoso,25,Masculino,Rua Quarenta e Cinco 276,Ituiutaba,MG,Minas Gerais,38300-012,BR,Brazil,VictorGoncalvesCardoso@jourrapide.com,4184,0.98,10,7,0,3,49,153,0,4395,49,SMS,1
159,Sra.,Luana,Martins,20,Feminino,Rua Primo Zanotto 1631,Pato Branco,PR,Paraná,85501-380,BR,Brazil,LuanaCarvalhoMartins@teleworm.us,8454,,,,,,1,7,4,6985,79,Push,0
160,Sr.,Caio,Souza,55,Masculino,Rua Cuiabá 1568,Itapetininga,SP,São Paulo,18205-650,BR,Brazil,CaioCostaSouza@rhyta.com,4028,,,,,,43,122,3,4007,80,Push,1
161,Sra.,Beatriz,Alves,58,Feminino,Rua Acari 59,Camaragibe,PE,Pernambuco,54771-700,BR,Brazil,BeatrizMeloAlves@einrot.com,9055,,,,,,1,1,5,8145,31,Ligacao,0
162,Dr.,Bianca,Oliveira,58,Feminino,Rua Onda Branca 1105,Rio de Janeiro,RJ,Rio de Janeiro,21740-390,BR,Brazil,BiancaGomesOliveira@cuvox.de,9617,,,,,,47,109,3,3106,45,Ligacao,1
163,Sr.,Júlio,Goncalves,59,Masculino,Rua Joaquim Silva 33,São Gonçalo,RJ,Rio de Janeiro,24450-300,BR,Brazil,JulioCarvalhoGoncalves@cuvox.de,9907,,,,,,1,5,4,7348,40,SMS,0
164,Sra.,Carolina,Dias,18,Feminino,Rua Leovigildo de Almeida Camargo 1200,Itapeva,SP,São Paulo,18405-100,BR,Brazil,CarolinaRochaDias@dayrep.com,9191,,,,,,42,83,2,2643,41,Email,1
165,Sr.,Thiago,Lima,47,Masculino,Rua Marlene Maria de Jesus 222,Guarulhos,SP,São Paulo,07151-850,BR,Brazil,ThiagoSilvaLima@rhyta.com,6303,,,,,,41,194,1,4715,71,SMS,1
166,Sra.,Bruna,Alves,28,Feminino,Rua Rocinha dos Fiaes 1378,Salvador,BA,Bahia,40349-180,BR,Brazil,BrunaLimaAlves@rhyta.com,9814,,,,,,34,155,0,185,69,Email,1
167,Sr.,Antônio,Ferreira,29,Masculino,Quadra Quadra 050 Conjunto B 54,Gama,DF,Distrito Federal,72440-502,BR,Brazil,AntonioRodriguesFerreira@gustr.com,5935,,,,,,1,5,5,2529,66,Push,0
168,Sr.,Kauê,Melo,32,Masculino,Travessa A 271,Alvorada,RS,Rio Grande do Sul,94810-480,BR,Brazil,KaueSousaMelo@teleworm.us,9599,0.47,7,11,0,5,1,6,5,894,75,Push,0
169,Sr.,Luan,Ribeiro,19,Masculino,Rua Hedair Labre Franca 687,São Paulo,SP,São Paulo,05567-100,BR,Brazil,LuanPintoRibeiro@dayrep.com,4279,0.98,6,13,1,2,27,118,1,716,77,Ligacao,1
170,Dr.,Julia,Cardoso,24,Feminino,Rua Portugal 1197,Taubaté,SP,São Paulo,12030-230,BR,Brazil,JuliaAraujoCardoso@teleworm.us,9080,0.85,4,5,0,5,40,114,0,375,34,Ligacao,1
171,Sr.,Enzo,Rocha,51,Masculino,Rua Oitenta e Um 1921,Timóteo,MG,Minas Gerais,35180-260,BR,Brazil,EnzoFerreiraRocha@cuvox.de,3403,0,6,11,1,0,3,4,4,726,65,SMS,0
172,Sra.,Rebeca,Fernandes,49,Feminino,Rua Nova 248,Belford Roxo,RJ,Rio de Janeiro,26167-185,BR,Brazil,RebecaFerreiraFernandes@cuvox.de,8830,0,15,16,0,3,3,0,4,149,90,Email,0
173,Sra.,Julieta,Oliveira,61,Feminino,Rua Heitor de Souza 303,São José do Rio Preto,SP,São Paulo,15046-657,BR,Brazil,JulietaCostaOliveira@superrito.com,6069,0.01,5,6,0,5,2,0,5,7045,90,SMS,0
174,Sra.,Manuela,Gomes,42,Feminino,Rua Vicente Soares da Costa 721,São Paulo,SP,São Paulo,02755-000,BR,Brazil,ManuelaCardosoGomes@teleworm.us,8532,0.83,2,17,0,3,50,191,2,2080,64,Push,1
175,Sra.,Livia,Pereira,22,Feminino,Praça Bolivar 847,Duque de Caxias,RJ,Rio de Janeiro,25055-460,BR,Brazil,LiviaLimaPereira@superrito.com,7256,0.42,11,1,0,2,2,1,4,6274,48,Push,0
176,Sra.,Rebeca,Castro,38,Feminino,Via de Pedestre Águas Vermelhas 337,São Paulo,SP,São Paulo,03641-080,BR,Brazil,RebecaSilvaCastro@einrot.com,5043,0.5,13,11,1,3,3,1,4,8958,49,Email,0
177,Sra.,Marisa,Cavalcanti,29,Feminino,Rua PL 6 1214,Goiânia,GO,Goiás,74820-049,BR,Brazil,MarisaMartinsCavalcanti@gustr.com,9201,1,0,12,1,0,33,147,1,5034,35,Ligacao,1
178,Sra.,Júlia,Cardoso,61,Feminino,Rua Vinte 1080,Bauru,SP,São Paulo,17030-052,BR,Brazil,JuliaGoncalvesCardoso@jourrapide.com,5991,1,2,2,0,0,29,125,0,2550,55,SMS,1
179,Sra.,Gabrielle,Santos,62,Feminino,Rua Gonçalves Ledo 1675,Ourinhos,SP,São Paulo,19913-050,BR,Brazil,GabrielleMeloSantos@jourrapide.com,5502,0.96,12,19,1,2,21,143,0,4171,61,Push,1
180,Sra.,Vitória,Lima,29,Feminino,Rua Trinta e Seis A 263,Belém,PA,Pará,66110-084,BR,Brazil,VitoriaOliveiraLima@fleckens.hu,3686,0.8,10,0,0,5,40,140,2,2791,39,Push,
181,Sr.,Martim,Rodrigues,56,Masculino,Rua Nove de Julho 1985,Goiânia,GO,Goiás,74465-300,BR,Brazil,MartimLimaRodrigues@dayrep.com,8168,0.91,13,19,1,5,34,168,3,6221,54,SMS,
182,Sr.,Guilherme,Gomes,45,Masculino,Rua Cachoeira do Sul 380,Novo Hamburgo,RS,Rio Grande do Sul,93534-210,BR,Brazil,GuilhermeDiasGomes@jourrapide.com,6179,0.94,9,8,1,1,23,168,1,1548,66,Ligacao,
183,Sra.,Sophia,Almeida,43,Feminino,Alameda Maria Batista 836,Belém,PA,Pará,66842-240,BR,Brazil,SophiaBarbosaAlmeida@armyspy.com,7662,0.97,6,9,0,1,35,189,1,1678,40,Push,
184,Sr.,Martim,Rocha,25,Masculino,Rua Armando Dornellas Pereira 191,Vila Velha,ES,Espírito Santo,29105-190,BR,Brazil,MartimRodriguesRocha@cuvox.de,5091,0.08,8,4,0,2,3,6,4,393,43,SMS,
185,Sra.,Luiza,Ferreira,52,Feminino,Rua Jorge Tibiriçá 1485,São Paulo,SP,São Paulo,04126-001,BR,Brazil,LuizaRibeiroFerreira@fleckens.hu,9511,0.22,14,19,0,5,3,8,4,9294,38,Ligacao,
186,Sr.,Thiago,Melo,58,Masculino,Rua São Geraldo 541,Santos,SP,São Paulo,11082-330,BR,Brazil,ThiagoDiasMelo@superrito.com,3578,0.91,1,2,0,3,24,97,1,8028,77,Push,
187,Sr.,Douglas,Martins,55,Masculino,Rua Antônio André Johnsson 303,Colombo,PR,Paraná,83414-220,BR,Brazil,DouglasLimaMartins@teleworm.us,9464,0.21,1,9,0,3,2,5,4,2512,77,Push,
188,Sra.,Ana,Cavalcanti,53,Feminino,Travessa Três 473,Altamira,PA,Pará,68371-320,BR,Brazil,AnaCastroCavalcanti@jourrapide.com,3189,0.9,1,4,0,4,36,65,0,8238,38,Email,
189,Sr.,Davi,Carvalho,22,Masculino,Travessa Paulo Nascimento 1493,Cariacica,ES,Espírito Santo,29155-880,BR,Brazil,DaviCorreiaCarvalho@einrot.com,3213,0.17,14,6,1,1,2,2,4,8545,41,Push,
190,Sr.,Pedro,Oliveira,34,Masculino,Rua Aristides Lobo 48,Ponta Grossa,PR,Paraná,84035-230,BR,Brazil,PedroSousaOliveira@superrito.com,4194,0.36,2,17,0,5,3,6,5,5740,81,Push,
191,Sra.,Leila,Cunha,45,Feminino,Rua 5 1839,Fortaleza,CE,Ceará,60835-380,BR,Brazil,LeilaAzevedoCunha@dayrep.com,5962,1,11,4,0,2,16,199,1,478,38,Push,
192,Sr.,Igor,Barros,29,Masculino,Rua H 480,Feira de Santana,BA,Bahia,44030-310,BR,Brazil,IgorPereiraBarros@teleworm.us,6304,0.98,0,5,1,1,40,197,2,2354,30,Email,
193,Sr.,Mateus,Souza,47,Masculino,Rua Lago Jagapé 450,São Paulo,SP,São Paulo,08111-140,BR,Brazil,MateusMeloSouza@rhyta.com,9077,0.8,9,17,1,0,48,123,3,2642,71,SMS,
194,Sr.,Renan,Rodrigues,23,Masculino,Rua Boa Vista 1298,Duque de Caxias,RJ,Rio de Janeiro,25035-160,BR,Brazil,RenanGoncalvesRodrigues@armyspy.com,3205,0.2,4,20,1,1,2,4,5,810,56,Ligacao,
195,Sr.,Thiago,Araujo,63,Masculino,Rua Olinda 1138,Goiânia,GO,Goiás,74473-822,BR,Brazil,ThiagoSilvaAraujo@superrito.com,4943,0.16,0,2,0,5,1,1,4,4952,67,Email,
196,Sr.,Eduardo,Cavalcanti,21,Masculino,Travessa da Cruz 1983,Viamão,RS,Rio Grande do Sul,94425-520,BR,Brazil,EduardoCarvalhoCavalcanti@rhyta.com,6666,0.17,14,0,1,3,2,5,5,1207,58,SMS,
197,Sra.,Ana,Dias,50,Feminino,Rua Presidente Pedreira 524,Niterói,RJ,Rio de Janeiro,24210-470,BR,Brazil,AnaOliveiraDias@rhyta.com,7711,0.18,9,14,0,2,1,2,5,8176,60,SMS,
198,Sra.,Raissa,Rodrigues,45,Feminino,Travessa José da Silva 578,Niterói,RJ,Rio de Janeiro,24110-809,BR,Brazil,RaissaCarvalhoRodrigues@rhyta.com,3815,0,11,15,0,5,2,4,4,9029,73,SMS,
199,Sra.,Júlia,Souza,27,Feminino,Rua Armando Sérgio de Aguiar 372,Belo Horizonte,MG,Minas Gerais,30550-610,BR,Brazil,JuliaLimaSouza@teleworm.us,9403,0.05,2,0,0,5,2,3,4,9333,82,Email,
200,Sra.,Melissa,Fernandes,55,Feminino,Rua Manoel Lúcio da Silva 279,Arapiraca,AL,Alagoas,57304-350,BR,Brazil,MelissaSantosFernandes@fleckens.hu,4743,0.39,8,5,1,2,3,3,4,5807,35,Email,
201,Sra.,Nicole,Correia,31,Feminino,Rua Aníbal Ferreira 1894,Campinas,SP,São Paulo,13041-000,BR,Brazil,NicoleSantosCorreia@armyspy.com,5069,1,13,11,0,0,11,76,3,6256,39,Push,
202,Sr.,Diogo,Costa,18,Masculino,Rua do Aço 1773,Fortaleza,CE,Ceará,60330-430,BR,Brazil,DiogoCavalcantiCosta@dayrep.com,7853,0.91,2,14,0,4,22,38,3,1378,72,Ligacao,1
203,Sra.,Carolina,Ferreira,50,Feminino,Rua Ângelo Cristóforo 354,São Paulo,SP,São Paulo,05587-080,BR,Brazil,CarolinaAlvesFerreira@gustr.com,7972,0.87,7,10,0,1,22,60,0,724,84,Email,1
204,Sra.,Mariana,Carvalho,65,Feminino,Rua Astir Seraphin Gebara 1514,Campinas,SP,São Paulo,13057-544,BR,Brazil,MarianaFerreiraCarvalho@dayrep.com,4121,0.33,3,5,1,3,3,1,4,10000,61,Email,0
205,Sr.,Leonardo,Ferreira,21,Masculino,Quadra CL 318 Bloco E 1649,Santa Maria,DF,Distrito Federal,72548-235,BR,Brazil,LeonardoDiasFerreira@armyspy.com,9965,0.98,1,20,0,2,40,193,1,9152,72,Push,1
206,Sr.,Martim,Oliveira,65,Masculino,Rua Francisco Jerônimo Leite 912,Sorocaba,SP,São Paulo,18074-593,BR,Brazil,MartimRodriguesOliveira@gustr.com,9832,0.18,13,11,0,3,1,7,5,2921,90,Email,0
207,Sra.,Sarah,Pereira,39,Feminino,Travessa Josefa Olivera Cumpian 311,São Paulo,SP,São Paulo,04225-040,BR,Brazil,SarahCardosoPereira@dayrep.com,3401,0.06,5,3,1,3,2,3,4,6904,89,SMS,0
208,Sra.,Marisa,Fernandes,63,Feminino,Rua Azor Garcia dos Santos 155,Bauru,SP,São Paulo,17066-436,BR,Brazil,MarisaCostaFernandes@rhyta.com,3344,0.35,10,13,0,3,2,5,4,4310,84,Push,0
209,Sra.,Marisa,Castro,50,Feminino,Travessa Dezenove de Novembro 1989,Capanema,PA,Pará,68703-160,BR,Brazil,MarisaSilvaCastro@teleworm.us,6526,0.09,1,19,0,1,2,5,5,6520,68,Ligacao,0
210,Sra.,Larissa,Araujo,30,Feminino,Rua dos Gaviões 700,Várzea Grande,MT,Mato Grosso,78118-570,BR,Brazil,LarissaCardosoAraujo@rhyta.com,5201,0.5,11,11,0,4,1,5,4,3118,62,Email,0
211,Sra.,Sarah,Alves,60,Feminino,Quadra QNO 19 Conjunto 43 484,Ceilândia,DF,Distrito Federal,72261-043,BR,Brazil,SarahCunhaAlves@jourrapide.com,8535,0.48,5,10,1,5,3,1,4,1220,59,Email,0
212,Sr.,Renan,Barbosa,63,Masculino,Rua Leoporino Campos Leite 802,Mogi das Cruzes,SP,São Paulo,08752-170,BR,Brazil,RenanDiasBarbosa@fleckens.hu,3468,0.82,1,20,1,3,45,38,2,2253,49,Ligacao,1
213,Sr.,Fábio,Oliveira,44,Masculino,Avenida Projetada Um 712,Petrolina,PE,Pernambuco,56314-510,BR,Brazil,FabioAzevedoOliveira@armyspy.com,9643,1,7,17,0,0,39,70,0,2775,35,Ligacao,1
214,Sra.,Bruna,Castro,19,Feminino,Beco João Beraldino 1192,Serra,ES,Espírito Santo,29177-195,BR,Brazil,BrunaSantosCastro@teleworm.us,3741,0.94,7,11,0,5,27,173,0,3079,74,SMS,1
215,Sra.,Isabelle,Gomes,28,Feminino,Rua São Francisco 135,Itapecerica da Serra,SP,São Paulo,06856-805,BR,Brazil,IsabelleAraujoGomes@teleworm.us,8634,0.29,12,7,1,1,1,8,5,1814,57,Ligacao,0
216,Sra.,Isabelle,Cardoso,57,Feminino,Quadra Quadra 605 Conjunto 08-A 1655,Recanto das Emas,DF,Distrito Federal,72641-131,BR,Brazil,IsabelleGomesCardoso@rhyta.com,5751,0.35,0,6,0,4,2,2,4,877,41,SMS,0
217,Sra.,Thaís,Cavalcanti,60,Feminino,Rua Itapoá 678,Queimados,RJ,Rio de Janeiro,26371-170,BR,Brazil,ThaisGoncalvesCavalcanti@rhyta.com,5420,0.92,15,14,1,0,22,195,2,6330,48,Ligacao,1
218,Sr.,Kauê,Costa,41,Masculino,Rua Matilde Cavalcante de Oliveira 393,João Pessoa,PB,Paraíba,58058-028,BR,Brazil,KaueRodriguesCosta@superrito.com,4382,0.9,2,20,0,0,29,72,2,8232,33,Ligacao,1
219,Sra.,Maria,Fernandes,56,Feminino,Praça José Pisapia 615,Osasco,SP,São Paulo,06020-210,BR,Brazil,MariaLimaFernandes@superrito.com,5113,1,3,4,0,4,24,87,3,9709,86,Email,1
220,Sr.,Mateus,Fernandes,40,Masculino,Rua Dilceia Marchon Ferro 1920,São Gonçalo,RJ,Rio de Janeiro,24724-030,BR,Brazil,MateusCardosoFernandes@cuvox.de,7125,0.37,8,15,0,2,2,5,4,4398,69,SMS,0
221,Sr.,Ryan,Pinto,24,Masculino,Rua Paulista 789,Aparecida de Goiânia,GO,Goiás,74915-200,BR,Brazil,RyanAlvesPinto@fleckens.hu,9355,1,4,6,0,0,24,85,3,7663,70,Push,1
222,Sra.,Camila,Azevedo,27,Feminino,Quadra Quadra 801 Conjunto 05-A 1541,Recanto das Emas,DF,Distrito Federal,72650-030,BR,Brazil,CamilaMeloAzevedo@superrito.com,4989,0.3,2,0,0,2,2,3,4,7152,56,Push,0
223,Sra.,Gabriela,Ferreira,37,Feminino,Rua Júlio Spiandorelli 238,Valinhos,SP,São Paulo,13277-116,BR,Brazil,GabrielaSousaFerreira@dayrep.com,4195,0.45,0,4,0,5,1,6,5,4787,47,Ligacao,0
224,Sra.,Sarah,Correia,61,Feminino,Rua Marcos Margulies 1247,Rio de Janeiro,RJ,Rio de Janeiro,23067-370,BR,Brazil,SarahRibeiroCorreia@gustr.com,5707,0.94,15,8,0,4,11,0,1,7621,79,Ligacao,1
225,Sra.,Melissa,Almeida,20,Feminino,Rua Maria Adriano Benjamin 1938,Blumenau,SC,Santa Catarina,89027-785,BR,Brazil,MelissaAzevedoAlmeida@jourrapide.com,8925,1,8,14,0,2,19,0,2,846,80,Email,1
226,Sr.,Martim,Correia,52,Masculino,Estrada Santa Rita 1891,Itaguaí,RJ,Rio de Janeiro,23840-260,BR,Brazil,MartimRochaCorreia@armyspy.com,5831,0.5,10,10,0,2,3,1,4,6428,32,Ligacao,0
227,Sra.,Yasmin,Pereira,31,Feminino,Rua Dez 73,Atibaia,SP,São Paulo,12949-461,BR,Brazil,YasminGomesPereira@cuvox.de,4157,0.82,0,10,0,2,42,0,1,4751,51,Ligacao,1
228,Sr.,Guilherme,Pereira,65,Masculino,Rua Cândido Portinari 248,Nova Iguaçu,RJ,Rio de Janeiro,26050-610,BR,Brazil,GuilhermeDiasPereira@jourrapide.com,3171,0.1,7,18,0,1,2,1,5,1753,83,Push,0
229,Sra.,Raissa,Souza,53,Feminino,Praça Francisca Rodrigues do Amaral 949,Londrina,PR,Paraná,86070-105,BR,Brazil,RaissaMartinsSouza@dayrep.com,3291,1,1,13,0,4,16,0,1,2463,76,Ligacao,1
230,Sr.,Antônio,Barros,18,Masculino,Rua Nove 1350,Jaú,SP,São Paulo,17210-819,BR,Brazil,AntonioCarvalhoBarros@einrot.com,4242,0.3,10,5,0,0,2,8,5,601,30,SMS,0
